filename,export_type,expected_dimensions,actual_dimensions,dimensions_match,file_size_kb,status,notes
beauty_2018_lupita-nyongo_ace-awards_14.jpg,3x4,1200x1600,1200x1600,True,479,PASS,
beauty_2018_lupita-nyongo_ace-awards_14.jpg,4x5,1280x1600,1280x1600,True,511,PASS,
beauty_2018_lupita-nyongo_ace-awards_14.jpg,featured,2400x1600,2400x1600,True,720,PASS,
beauty_2018_lupita-nyongo_ace-awards_14.jpg,social,1080x1080,1080x1080,True,312,PASS,
hero-bg.jpg,3x4,1200x1600,1200x1600,True,775,PASS,
hero-bg.jpg,4x5,1280x1600,1280x1600,True,819,PASS,
hero-bg.jpg,featured,2400x1600,2400x1600,True,1580,PASS,
hero-bg.jpg,social,1080x1080,1080x1080,True,547,PASS,
editorial_2021_aurora-james_grazia-usa_34.jpg,3x4,1200x1600,1200x1600,True,571,PASS,
editorial_2021_aurora-james_grazia-usa_34.jpg,4x5,1280x1600,1280x1600,True,602,PASS,
editorial_2021_aurora-james_grazia-usa_34.jpg,featured,2400x1600,2400x1600,True,1188,PASS,
editorial_2021_aurora-james_grazia-usa_34.jpg,social,1080x1080,1080x1080,True,405,PASS,
homepage_2019_rihanna_phaidon_01.jpg,3x4,1200x1600,1200x1600,True,530,PASS,
homepage_2019_rihanna_phaidon_01.jpg,4x5,1280x1600,1280x1600,True,549,PASS,
homepage_2019_rihanna_phaidon_01.jpg,featured,2400x1600,2400x1600,True,840,PASS,
homepage_2019_rihanna_phaidon_01.jpg,social,1080x1080,1080x1080,True,348,PASS,
redcarpet_2022_ebony-obsidian_red-carpet_01.jpg,3x4,1200x1600,1200x1600,True,302,PASS,
redcarpet_2022_ebony-obsidian_red-carpet_01.jpg,4x5,1280x1600,1280x1600,True,319,PASS,
redcarpet_2022_ebony-obsidian_red-carpet_01.jpg,featured,2400x1600,2400x1600,True,439,PASS,
redcarpet_2022_ebony-obsidian_red-carpet_01.jpg,social,1080x1080,1080x1080,True,195,PASS,
beauty_2018_duckie-thot_harpers-bazaar_22.jpg,3x4,1200x1600,1200x1600,True,469,PASS,
beauty_2018_duckie-thot_harpers-bazaar_22.jpg,4x5,1280x1600,1280x1600,True,485,PASS,
beauty_2018_duckie-thot_harpers-bazaar_22.jpg,featured,2400x1600,2400x1600,True,678,PASS,
beauty_2018_duckie-thot_harpers-bazaar_22.jpg,social,1080x1080,1080x1080,True,277,PASS,
ecom_2019_tabria-majors_savage-x-fenty_02.jpg,3x4,1200x1600,1200x1600,True,239,PASS,
ecom_2019_tabria-majors_savage-x-fenty_02.jpg,4x5,1280x1600,1280x1600,True,249,PASS,
ecom_2019_tabria-majors_savage-x-fenty_02.jpg,featured,2400x1600,2400x1600,True,516,PASS,
ecom_2019_tabria-majors_savage-x-fenty_02.jpg,social,1080x1080,1080x1080,True,156,PASS,
cover_2018_duckie-thot_harpers-bazaar_01.jpg,3x4,1200x1600,1200x1600,True,788,PASS,
cover_2018_duckie-thot_harpers-bazaar_01.jpg,4x5,1280x1600,1280x1600,True,847,PASS,
cover_2018_duckie-thot_harpers-bazaar_01.jpg,featured,2400x1600,2400x1600,True,1506,PASS,
cover_2018_duckie-thot_harpers-bazaar_01.jpg,social,1080x1080,1080x1080,True,528,PASS,
editorial_2021_salem-mitchell_schon-magazine_29.jpg,3x4,1200x1600,1200x1600,True,173,PASS,
editorial_2021_salem-mitchell_schon-magazine_29.jpg,4x5,1280x1600,1280x1600,True,181,PASS,
editorial_2021_salem-mitchell_schon-magazine_29.jpg,featured,2400x1600,2400x1600,True,319,PASS,
editorial_2021_salem-mitchell_schon-magazine_29.jpg,social,1080x1080,1080x1080,True,111,PASS,
redcarpet_2022_saniyya-sidney_hca-awards_09.jpg,3x4,1200x1600,1200x1600,True,951,PASS,
redcarpet_2022_saniyya-sidney_hca-awards_09.jpg,4x5,1280x1600,1280x1600,True,1023,PASS,
redcarpet_2022_saniyya-sidney_hca-awards_09.jpg,featured,2400x1600,2400x1600,True,1662,PASS,
redcarpet_2022_saniyya-sidney_hca-awards_09.jpg,social,1080x1080,1080x1080,True,629,PASS,
beauty_2018_duckie-thot_harpers-bazaar_20.jpg,3x4,1200x1600,1200x1600,True,370,PASS,
beauty_2018_duckie-thot_harpers-bazaar_20.jpg,4x5,1280x1600,1280x1600,True,393,PASS,
beauty_2018_duckie-thot_harpers-bazaar_20.jpg,featured,2400x1600,2400x1600,True,625,PASS,
beauty_2018_duckie-thot_harpers-bazaar_20.jpg,social,1080x1080,1080x1080,True,236,PASS,
beauty_2021_carmen-solomons_studio_11.jpg,3x4,1200x1600,1200x1600,True,438,PASS,
beauty_2021_carmen-solomons_studio_11.jpg,4x5,1280x1600,1280x1600,True,473,PASS,
beauty_2021_carmen-solomons_studio_11.jpg,featured,2400x1600,2400x1600,True,702,PASS,
beauty_2021_carmen-solomons_studio_11.jpg,social,1080x1080,1080x1080,True,260,PASS,
ecom_2019_nina-marie-daniele-and-models_savage-x-fenty_03.jpg,3x4,1200x1600,1200x1600,True,441,PASS,
ecom_2019_nina-marie-daniele-and-models_savage-x-fenty_03.jpg,4x5,1280x1600,1280x1600,True,477,PASS,
ecom_2019_nina-marie-daniele-and-models_savage-x-fenty_03.jpg,featured,2400x1600,2400x1600,True,749,PASS,
ecom_2019_nina-marie-daniele-and-models_savage-x-fenty_03.jpg,social,1080x1080,1080x1080,True,321,PASS,
ecom_2019_nina-marie-daniele_savage-x-fenty_04.jpg,3x4,1200x1600,1200x1600,True,319,PASS,
ecom_2019_nina-marie-daniele_savage-x-fenty_04.jpg,4x5,1280x1600,1280x1600,True,337,PASS,
ecom_2019_nina-marie-daniele_savage-x-fenty_04.jpg,featured,2400x1600,2400x1600,True,517,PASS,
ecom_2019_nina-marie-daniele_savage-x-fenty_04.jpg,social,1080x1080,1080x1080,True,223,PASS,
ecom_2020_veronika-vilim_le-specs_01.jpg,3x4,1200x1600,1200x1600,True,365,PASS,
ecom_2020_veronika-vilim_le-specs_01.jpg,4x5,1280x1600,1280x1600,True,380,PASS,
ecom_2020_veronika-vilim_le-specs_01.jpg,featured,2400x1600,2400x1600,True,594,PASS,
ecom_2020_veronika-vilim_le-specs_01.jpg,social,1080x1080,1080x1080,True,238,PASS,
cover_2022_gottmik_coveteur_09.jpg,3x4,1200x1600,1200x1600,True,397,PASS,
cover_2022_gottmik_coveteur_09.jpg,4x5,1280x1600,1280x1600,True,425,PASS,
cover_2022_gottmik_coveteur_09.jpg,featured,2400x1600,2400x1600,True,678,PASS,
cover_2022_gottmik_coveteur_09.jpg,social,1080x1080,1080x1080,True,254,PASS,
editorial_2018_twins_lofficiel-malaysia_40.jpg,3x4,1200x1600,1200x1600,True,478,PASS,
editorial_2018_twins_lofficiel-malaysia_40.jpg,4x5,1280x1600,1280x1600,True,509,PASS,
editorial_2018_twins_lofficiel-malaysia_40.jpg,featured,2400x1600,2400x1600,True,973,PASS,
editorial_2018_twins_lofficiel-malaysia_40.jpg,social,1080x1080,1080x1080,True,338,PASS,
editorial_2021_arica-himmel_photobook_25.jpg,3x4,1200x1600,1200x1600,True,302,PASS,
editorial_2021_arica-himmel_photobook_25.jpg,4x5,1280x1600,1280x1600,True,332,PASS,
editorial_2021_arica-himmel_photobook_25.jpg,featured,2400x1600,2400x1600,True,593,PASS,
editorial_2021_arica-himmel_photobook_25.jpg,social,1080x1080,1080x1080,True,246,PASS,
redcarpet_2022_saniyya-sidney_naacp-awards_03.jpg,3x4,1200x1600,1200x1600,True,465,PASS,
redcarpet_2022_saniyya-sidney_naacp-awards_03.jpg,4x5,1280x1600,1280x1600,True,488,PASS,
redcarpet_2022_saniyya-sidney_naacp-awards_03.jpg,featured,2400x1600,2400x1600,True,777,PASS,
redcarpet_2022_saniyya-sidney_naacp-awards_03.jpg,social,1080x1080,1080x1080,True,305,PASS,
hero-bg.png,hero,3840x2160,3840x2160,True,11926,PASS,"HC — cinematic full-bleed landscape, subject upper-center"
editorial_2021_aurora-james_grazia-usa_34.jpg,homepage_strip (featured),2400x1600,2400x1600,True,1188,PASS,HC — horizontal band for homepage animated strip
redcarpet_2022_ebony-obsidian_red-carpet_01.jpg,homepage_strip (featured),2400x1600,2400x1600,True,439,PASS,HC — horizontal band for homepage animated strip
beauty_2018_lupita-nyongo_ace-awards_14.jpg,homepage_strip (featured),2400x1600,2400x1600,True,720,PASS,HC — horizontal band for homepage animated strip
homepage_2019_rihanna_phaidon_01.jpg,homepage_strip (featured),2400x1600,2400x1600,True,863,PASS,HC — horizontal band for homepage animated strip
beauty_2021_carmen-solomons_studio_11.jpg,section_cover (featured),2400x1600,2400x1600,True,702,PASS,HC — horizontal band for section cover. Carmen's face + hair should dominate.
ecom_2019_tabria-majors_savage-x-fenty_02.jpg,section_cover (featured),2400x1600,2400x1600,True,516,PASS,HC — horizontal band for section cover
cover_2018_duckie-thot_harpers-bazaar_01.jpg,section_cover (featured),2400x1600,2400x1600,True,1506,PASS,HC — horizontal band for section cover
editorial_2021_salem-mitchell_schon-magazine_29.jpg,section_cover (featured),2400x1600,2400x1600,True,319,PASS,HC — horizontal band for section cover
redcarpet_2022_saniyya-sidney_hca-awards_09.jpg,section_cover (featured),2400x1600,2400x1600,True,1662,PASS,HC — horizontal band for section cover
about-portrait.png,portrait,1600x2400,1600x2400,True,4595,PASS,"SC — subject-aware, keep face and upper body prominent"
og_beauty_rihanna.jpg,open_graph_prep,1200x630,1200x630,True,425,PASS,HC — horizontal band for OG image composition
og_editorial_aurora.jpg,open_graph_prep,1200x630,1200x630,True,329,PASS,HC — horizontal band for OG image composition
